ticket_id;fecha_creacion;fecha_cierre;canal;prioridad;categoria;subcategoria;estado;equipo_asignado;agente;cliente_empresa;ciudad;tipo_cliente;sla_horas;tiempo_resolucion_horas;cumple_sla;dias_abierto;satisfaccion_cliente
TCK-00001;2025-11-24;;Correo;Media;Software;Actualización fallida;En progreso;Mesa de ayuda;María Paredes;Retail Norte;Cusco;Externo;24;;No aplica;37;
TCK-00002;2025-01-17;2025-01-17;Correo;Alta;Hardware;Cambio de periférico;Resuelto;Infraestructura;Elena Chávez;Corporación Sierra;Huancayo;Externo;8;20.0;No;0;2.0
TCK-00003;2025-01-04;2025-01-04;Teléfono;Alta;Redes;Sin conexión;Resuelto;Infraestructura;Jorge Salazar;Retail Norte;Lima;Externo;8;5.0;Sí;0;5.0
TCK-00004;2025-06-26;2025-06-29;Web;Baja;Correo;No recibe correos;Cerrado;Seguridad;Ricardo Flores;Logística Central;Cusco;Externo;48;81.0;No;3;1.0
TCK-00005;2025-12-27;2025-12-28;Correo;Media;Hardware;Equipo lento;Cerrado;Mesa de ayuda;Luis Ramos;Logística Central;Trujillo;Externo;24;24.0;Sí;1;5.0
TCK-00006;2025-07-01;2025-07-01;Correo;Alta;ERP;Error en módulo;Cerrado;Soporte ERP;Fernando Díaz;Servicios Lima;Huancayo;Externo;8;14.0;No;0;2.0
TCK-00007;2025-11-24;2025-11-24;Teléfono;Alta;CRM;Error de registro;Resuelto;Infraestructura;Carlos Medina;Inversiones Sur;Trujillo;Externo;8;4.0;Sí;0;4.0
TCK-00008;2025-10-18;2025-10-21;Chat;Media;Accesos;Cuenta bloqueada;Resuelto;Seguridad;Ricardo Flores;Logística Central;Huancayo;Interno;24;72.0;No;3;2.0
TCK-00009;2025-10-27;2025-10-28;Web;Media;Software;Actualización fallida;Resuelto;Seguridad;Ricardo Flores;Comercial Andina;Lima;Interno;24;24.0;Sí;1;5.0
TCK-00010;2025-11-02;2025-11-02;Correo;Media;Correo;Error de envío;Cancelado;Soporte ERP;Fernando Díaz;Retail Norte;Cusco;Externo;24;;No aplica;0;
TCK-00011;2025-06-24;2025-06-25;Correo;Media;ERP;Problema de permisos;Resuelto;Aplicaciones;Lucía Herrera;Grupo Pacífico;Cusco;Interno;24;42.0;No;1;3.0
TCK-00012;2025-09-17;2025-09-17;Web;Alta;Correo;Configuración de Outlook;Cerrado;Mesa de ayuda;María Paredes;Inversiones Sur;Trujillo;Interno;8;5.0;Sí;0;5.0
TCK-00013;2025-06-07;2025-06-07;Correo;Alta;Hardware;Equipo lento;Resuelto;Seguridad;Ricardo Flores;Grupo Pacífico;Huancayo;Externo;8;19.0;No;0;1.0
TCK-00014;2025-05-16;2025-05-16;Web;Media;Correo;Configuración de Outlook;Cancelado;Infraestructura;Elena Chávez;Logística Central;Trujillo;Externo;24;;No aplica;0;
TCK-00015;2025-09-22;;Web;Alta;Hardware;Cambio de periférico;Abierto;Soporte ERP;Fernando Díaz;Servicios Lima;Lima;Interno;8;;No aplica;100;
TCK-00016;2025-12-29;2025-12-29;Web;Alta;CRM;Problema de sincronización;Cerrado;Mesa de ayuda;María Paredes;Servicios Lima;Arequipa;Externo;8;8.0;Sí;0;4.0
TCK-00017;2025-10-20;2025-10-20;Web;Alta;Accesos;Restablecimiento de contraseña;Resuelto;Mesa de ayuda;Ana Torres;Corporación Sierra;Arequipa;Externo;8;15.0;No;0;2.0
TCK-00018;2025-01-28;;Teléfono;Baja;Accesos;Cuenta bloqueada;Abierto;Aplicaciones;Patricia León;Servicios Lima;Huancayo;Interno;48;;No aplica;337;
TCK-00019;2025-10-02;2025-10-02;Web;Media;Software;Error de aplicación;Resuelto;Seguridad;Ricardo Flores;Comercial Andina;Cusco;Interno;24;15.0;Sí;0;4.0
TCK-00020;2025-03-27;2025-03-28;Web;Media;Hardware;Equipo lento;Cerrado;Seguridad;Ricardo Flores;Corporación Sierra;Arequipa;Externo;24;40.0;No;1;2.0
TCK-00021;2025-12-23;2025-12-26;Chat;Baja;ERP;Consulta de proceso;Resuelto;Infraestructura;Carlos Medina;Logística Central;Huancayo;Interno;48;82.0;No;3;3.0
TCK-00022;2025-10-05;;Correo;Media;Accesos;Cuenta bloqueada;Abierto;Soporte ERP;Fernando Díaz;Comercial Andina;Cusco;Interno;24;;No aplica;87;
TCK-00023;2025-04-06;2025-04-06;Correo;Crítica;Accesos;Restablecimiento de contraseña;Cerrado;Soporte ERP;Fernando Díaz;Comercial Andina;Cusco;Interno;4;7.0;No;0;3.0
TCK-00024;2025-10-26;;Web;Media;ERP;Problema de permisos;En progreso;Aplicaciones;Patricia León;Logística Central;Trujillo;Interno;24;;No aplica;66;
TCK-00025;2025-12-10;2025-12-12;Web;Media;Hardware;Equipo lento;Cerrado;Seguridad;Ricardo Flores;Retail Norte;Cusco;Interno;24;68.0;No;2;2.0
TCK-00026;2025-03-09;2025-03-12;Chat;Baja;Redes;VPN;Cerrado;Infraestructura;Jorge Salazar;Logística Central;Cusco;Interno;48;93.0;No;3;3.0
TCK-00027;2025-06-03;2025-06-03;Chat;Alta;Redes;Sin conexión;Cerrado;Mesa de ayuda;María Paredes;Grupo Pacífico;Arequipa;Externo;8;21.0;No;0;1.0
TCK-00028;2025-06-25;;Correo;Media;Accesos;Permisos de usuario;En progreso;Mesa de ayuda;Ana Torres;Corporación Sierra;Arequipa;Interno;24;;No aplica;189;
TCK-00029;2025-01-02;2025-01-02;Correo;Alta;Software;Actualización fallida;Cancelado;Seguridad;Valeria Rojas;Comercial Andina;Lima;Interno;8;;No aplica;0;
TCK-00030;2025-03-18;2025-03-20;Web;Baja;Software;Instalación de programa;Resuelto;Infraestructura;Carlos Medina;Logística Central;Arequipa;Interno;48;53.0;No;2;1.0
TCK-00031;2025-12-16;2025-12-16;Correo;Alta;CRM;Problema de sincronización;Cerrado;Soporte ERP;Fernando Díaz;Servicios Lima;Huancayo;Interno;8;15.0;No;0;1.0
TCK-00032;2025-04-02;2025-04-02;Teléfono;Media;CRM;Consulta de cliente;Cerrado;Infraestructura;Jorge Salazar;Grupo Pacífico;Lima;Externo;24;8.0;Sí;0;5.0
TCK-00033;2025-04-24;2025-04-25;Correo;Baja;CRM;Error de registro;Resuelto;Infraestructura;Carlos Medina;Servicios Lima;Trujillo;Externo;48;43.0;Sí;1;4.0
TCK-00034;2025-05-23;2025-05-24;Web;Media;CRM;Consulta de cliente;Resuelto;Aplicaciones;Patricia León;Retail Norte;Arequipa;Interno;24;37.0;No;1;1.0
TCK-00035;2025-02-25;2025-02-26;Web;Media;Accesos;Cuenta bloqueada;Cerrado;Soporte ERP;Fernando Díaz;Corporación Sierra;Cusco;Interno;24;36.0;No;1;1.0
TCK-00036;2025-12-29;2025-12-30;Web;Media;ERP;Problema de permisos;Cerrado;Infraestructura;Jorge Salazar;Corporación Sierra;Lima;Externo;24;44.0;No;1;3.0
TCK-00037;2025-03-05;2025-03-07;Teléfono;Media;Accesos;Permisos de usuario;Resuelto;Seguridad;Valeria Rojas;Grupo Pacífico;Huancayo;Externo;24;52.0;No;2;3.0
TCK-00038;2025-03-31;2025-04-02;Web;Media;Hardware;Falla de impresora;Resuelto;Aplicaciones;Patricia León;Corporación Sierra;Cusco;Externo;24;63.0;No;2;2.0
TCK-00039;2025-08-15;2025-08-15;Teléfono;Media;CRM;Consulta de cliente;Cerrado;Infraestructura;Elena Chávez;Retail Norte;Arequipa;Externo;24;15.0;Sí;0;4.0
TCK-00040;2025-12-11;;Correo;Baja;Hardware;Equipo lento;En progreso;Seguridad;Ricardo Flores;Distribuidora Horizonte;Trujillo;Interno;48;;No aplica;20;
TCK-00041;2025-12-23;;Web;Media;ERP;Error en módulo;En progreso;Mesa de ayuda;Luis Ramos;Servicios Lima;Huancayo;Externo;24;;No aplica;8;
TCK-00042;2025-01-26;;Web;Baja;Software;Instalación de programa;En progreso;Soporte ERP;Camila Núñez;Distribuidora Horizonte;Cusco;Externo;48;;No aplica;339;
TCK-00043;2025-10-08;2025-10-08;Web;Alta;Accesos;Permisos de usuario;Cerrado;Infraestructura;Elena Chávez;Logística Central;Cusco;Externo;8;22.0;No;0;1.0
TCK-00044;2025-05-21;;Web;Media;Redes;VPN;En progreso;Soporte ERP;Fernando Díaz;Grupo Pacífico;Huancayo;Interno;24;;No aplica;224;
TCK-00045;2025-07-16;;Teléfono;Media;Accesos;Permisos de usuario;Abierto;Soporte ERP;Camila Núñez;Corporación Sierra;Lima;Interno;24;;No aplica;168;
TCK-00046;2025-08-04;2025-08-08;Web;Baja;Hardware;Cambio de periférico;Cerrado;Seguridad;Valeria Rojas;Comercial Andina;Arequipa;Externo;48;104.0;No;4;2.0
TCK-00047;2025-08-03;2025-08-05;Web;Media;Software;Instalación de programa;Cerrado;Infraestructura;Jorge Salazar;Corporación Sierra;Trujillo;Interno;24;53.0;No;2;2.0
TCK-00048;2025-12-09;;Teléfono;Media;Accesos;Restablecimiento de contraseña;En progreso;Soporte ERP;Fernando Díaz;Corporación Sierra;Cusco;Interno;24;;No aplica;22;
TCK-00049;2025-02-12;2025-02-12;Web;Alta;Hardware;Falla de impresora;Resuelto;Seguridad;Valeria Rojas;Servicios Lima;Trujillo;Externo;8;12.0;No;0;2.0
TCK-00050;2025-05-23;;Teléfono;Baja;Hardware;Falla de impresora;En progreso;Mesa de ayuda;María Paredes;Comercial Andina;Arequipa;Interno;48;;No aplica;222;
TCK-00051;2025-11-29;;Correo;Baja;Hardware;Equipo lento;Abierto;Infraestructura;Carlos Medina;Grupo Pacífico;Huancayo;Interno;48;;No aplica;32;
TCK-00052;2025-08-31;;Teléfono;Media;ERP;Consulta de proceso;En progreso;Aplicaciones;Patricia León;Retail Norte;Huancayo;Externo;24;;No aplica;122;
TCK-00053;2025-02-25;2025-03-01;Web;Baja;Accesos;Permisos de usuario;Resuelto;Infraestructura;Carlos Medina;Servicios Lima;Lima;Externo;48;116.0;No;4;3.0
TCK-00054;2025-11-04;2025-11-04;Teléfono;Baja;Hardware;Falla de impresora;Resuelto;Soporte ERP;Camila Núñez;Inversiones Sur;Lima;Externo;48;9.0;Sí;0;5.0
TCK-00055;2025-09-08;2025-09-11;Correo;Baja;CRM;Problema de sincronización;Resuelto;Infraestructura;Jorge Salazar;Grupo Pacífico;Cusco;Externo;48;86.0;No;3;3.0
